"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"BatteryTest1","233.000","12.215","7.500","999.90"
"BatteryTest1","234.000","12.215","7.500","999.90"
"BatteryTest1","235.000","12.215","7.500","999.90"
"BatteryTest1","236.000","12.215","7.500","999.90"
"BatteryTest1","237.000","12.215","7.500","999.90"
"BatteryTest1","238.000","12.215","7.500","999.90"
"BatteryTest1","239.000","12.211","7.500","999.90"
"BatteryTest1","240.000","12.215","7.500","999.90"
"BatteryTest1","241.000","12.215","7.500","999.90"
"BatteryTest1","242.000","12.215","7.500","999.90"
"BatteryTest1","243.000","12.215","7.500","999.90"
"BatteryTest1","244.000","12.215","7.500","999.90"
"BatteryTest1","245.000","12.211","7.500","999.90"
"BatteryTest1","246.000","12.215","7.500","999.90"
"BatteryTest1","247.000","12.215","7.500","999.90"
"BatteryTest1","248.000","12.215","7.500","999.90"
"BatteryTest1","249.000","12.211","7.500","999.90"
"BatteryTest1","250.000","12.211","7.500","999.90"
"BatteryTest1","251.000","12.211","7.500","999.90"
"BatteryTest1","252.000","12.211","7.500","999.90"
"BatteryTest1","253.000","12.211","7.500","999.90"
"BatteryTest1","254.000","12.211","7.500","999.90"
"BatteryTest1","255.000","12.211","7.500","999.90"
"BatteryTest1","256.000","12.211","7.500","999.90"
"BatteryTest1","257.000","12.211","7.500","999.90"
"BatteryTest1","258.000","12.211","7.500","999.90"
"BatteryTest1","259.000","12.211","7.500","999.90"
"BatteryTest1","260.000","12.211","7.500","999.90"
"BatteryTest1","261.000","12.211","7.500","999.90"
"BatteryTest1","262.000","12.211","7.500","999.90"
"BatteryTest1","263.000","12.211","7.500","999.90"
"BatteryTest1","264.000","12.211","7.500","999.90"
"BatteryTest1","265.000","12.211","7.500","999.90"
"BatteryTest1","266.000","12.207","7.500","999.90"
"BatteryTest1","267.000","12.207","7.500","999.90"
"BatteryTest1","268.000","12.207","7.500","999.90"
"BatteryTest1","269.000","12.207","7.500","999.90"
"BatteryTest1","270.000","12.207","7.500","999.90"
"BatteryTest1","271.000","12.207","7.500","999.90"
"BatteryTest1","272.000","12.207","7.500","999.90"
"BatteryTest1","273.000","12.207","7.500","999.90"
"BatteryTest1","274.000","12.207","7.500","999.90"
"BatteryTest1","275.000","12.207","7.500","999.90"
"BatteryTest1","276.000","12.207","7.500","999.90"
"BatteryTest1","277.000","12.207","7.500","999.90"
"BatteryTest1","278.000","12.207","7.500","999.90"
"BatteryTest1","279.000","12.207","7.500","999.90"
"BatteryTest1","280.000","12.207","7.500","999.90"
"BatteryTest1","281.000","12.207","7.500","999.90"
"BatteryTest1","282.000","12.207","7.500","999.90"
"BatteryTest1","283.000","12.207","7.500","999.90"
"BatteryTest1","284.000","12.207","7.500","999.90"
"BatteryTest1","285.000","12.207","7.500","999.90"
"BatteryTest1","286.000","12.207","7.500","999.90"
"BatteryTest1","287.000","12.207","7.500","999.90"
"BatteryTest1","288.000","12.207","7.500","999.90"
"BatteryTest1","289.000","12.207","7.500","999.90"
"BatteryTest1","290.000","12.207","7.500","999.90"
"BatteryTest1","291.000","12.207","7.500","999.90"
"BatteryTest1","292.000","12.207","7.500","999.90"
"BatteryTest1","293.000","12.207","7.500","999.90"
"BatteryTest1","294.000","12.207","7.500","999.90"
"BatteryTest1","295.000","12.207","7.500","999.90"
"BatteryTest1","296.000","12.207","7.500","999.90"
"BatteryTest1","297.000","12.207","7.500","999.90"
"BatteryTest1","298.000","12.207","7.500","999.90"
"BatteryTest1","299.000","12.207","7.500","999.90"
"BatteryTest1","300.000","12.207","7.500","999.90"
"BatteryTest1","301.000","12.207","7.500","999.90"
"BatteryTest1","302.000","12.207","7.500","999.90"
"BatteryTest1","303.000","12.207","7.500","999.90"
"BatteryTest1","304.000","12.207","7.500","999.90"
"BatteryTest1","305.000","12.207","7.500","999.90"
"BatteryTest1","306.000","12.207","7.500","999.90"
"BatteryTest1","307.000","12.207","7.500","999.90"
"BatteryTest1","308.000","12.207","7.500","999.90"
"BatteryTest1","309.000","12.207","7.500","999.90"
"BatteryTest1","310.000","12.207","7.500","999.90"
"BatteryTest1","311.000","12.207","7.500","999.90"
"BatteryTest1","312.000","12.207","7.500","999.90"
"BatteryTest1","313.000","12.207","7.500","999.90"
"BatteryTest1","314.000","12.207","7.500","999.90"
"BatteryTest1","315.000","12.207","7.500","999.90"
"BatteryTest1","316.000","12.207","7.500","999.90"
"BatteryTest1","317.000","12.207","7.500","999.90"
"BatteryTest1","318.000","12.207","7.500","999.90"
"BatteryTest1","319.000","12.207","7.500","999.90"
"BatteryTest1","320.000","12.207","7.500","999.90"
"BatteryTest1","321.000","12.207","7.500","999.90"
"BatteryTest1","322.000","12.207","7.500","999.90"
"BatteryTest1","323.000","12.207","7.500","999.90"
"BatteryTest1","324.000","12.207","7.500","999.90"
"BatteryTest1","325.000","12.207","7.500","999.90"
"BatteryTest1","326.000","12.207","7.500","999.90"
"BatteryTest1","327.000","12.207","7.500","999.90"
"BatteryTest1","328.000","12.207","7.500","999.90"
"BatteryTest1","329.000","12.207","7.500","999.90"
"BatteryTest1","330.000","12.207","7.500","999.90"
"BatteryTest1","331.000","12.207","7.500","999.90"
"BatteryTest1","332.000","12.203","7.500","999.90"
"BatteryTest1","333.000","12.203","7.500","999.90"
"BatteryTest1","334.000","12.203","7.500","999.90"
"BatteryTest1","335.000","12.203","7.500","999.90"
"BatteryTest1","336.000","12.200","7.500","999.90"
"BatteryTest1","337.000","12.200","7.500","999.90"
"BatteryTest1","338.000","12.200","7.500","999.90"
"BatteryTest1","339.000","12.200","7.500","999.90"
"BatteryTest1","340.000","12.200","7.500","999.90"
"BatteryTest1","341.000","12.200","7.500","999.90"
"BatteryTest1","342.000","12.200","7.500","999.90"
"BatteryTest1","343.000","12.200","7.500","999.90"
"BatteryTest1","344.000","12.200","7.500","999.90"
"BatteryTest1","345.000","12.200","7.500","999.90"
"BatteryTest1","346.000","12.200","7.500","999.90"
"BatteryTest1","347.000","12.200","7.500","999.90"
"BatteryTest1","348.000","12.200","7.500","999.90"
"BatteryTest1","349.000","12.200","7.500","999.90"
"BatteryTest1","350.000","12.200","7.500","999.90"
"BatteryTest1","351.000","12.200","7.500","999.90"
"BatteryTest1","352.000","12.200","7.500","999.90"
"BatteryTest1","353.000","12.200","7.500","999.90"
"BatteryTest1","354.000","12.200","7.500","999.90"
"BatteryTest1","355.000","12.200","7.500","999.90"
"BatteryTest1","356.000","12.200","7.500","999.90"
"BatteryTest1","357.000","12.200","7.500","999.90"
"BatteryTest1","358.000","12.200","7.500","999.90"
"BatteryTest1","359.000","12.200","7.500","999.90"
"BatteryTest1","360.000","12.200","7.500","999.90"
"BatteryTest1","361.000","12.200","7.500","999.90"
"BatteryTest1","362.000","12.200","7.500","999.90"
"BatteryTest1","363.000","12.200","7.500","999.90"
"BatteryTest1","364.000","12.200","7.500","999.90"
"BatteryTest1","365.000","12.200","7.500","999.90"
"BatteryTest1","366.000","12.200","7.500","999.90"
"BatteryTest1","367.000","12.200","7.500","999.90"
"BatteryTest1","368.000","12.200","7.500","999.90"
"BatteryTest1","369.000","12.200","7.500","999.90"
"BatteryTest1","370.000","12.200","7.500","999.90"
"BatteryTest1","371.000","12.200","7.500","999.90"
"BatteryTest1","372.000","12.200","7.500","999.90"
"BatteryTest1","373.000","12.200","7.500","999.90"
"BatteryTest1","374.000","12.200","7.500","999.90"
"BatteryTest1","375.000","12.200","7.500","999.90"
"BatteryTest1","376.000","12.200","7.500","999.90"
"BatteryTest1","377.000","12.200","7.500","999.90"
"BatteryTest1","378.000","12.200","7.500","999.90"
"BatteryTest1","379.000","12.200","7.500","999.90"
"BatteryTest1","380.000","12.200","7.500","999.90"
"BatteryTest1","381.000","12.200","7.500","999.90"
"BatteryTest1","382.000","12.200","7.500","999.90"
"BatteryTest1","383.000","12.200","7.500","999.90"
"BatteryTest1","384.000","12.196","7.500","999.90"
"BatteryTest1","385.000","12.196","7.500","999.90"
"BatteryTest1","386.000","12.196","7.500","999.90"
"BatteryTest1","387.000","12.196","7.500","999.90"
"BatteryTest1","388.000","12.196","7.500","999.90"
"BatteryTest1","389.000","12.196","7.500","999.90"
"BatteryTest1","390.000","12.192","7.500","999.90"
"BatteryTest1","391.000","12.192","7.500","999.90"
"BatteryTest1","392.000","12.192","7.500","999.90"
"BatteryTest1","393.000","12.192","7.500","999.90"
"BatteryTest1","394.000","12.192","7.500","999.90"
"BatteryTest1","395.000","12.192","7.500","999.90"
"BatteryTest1","396.000","12.192","7.500","999.90"
"BatteryTest1","397.000","12.192","7.500","999.90"
"BatteryTest1","398.000","12.192","7.500","999.90"
"BatteryTest1","399.000","12.192","7.500","999.90"
"BatteryTest1","400.000","12.192","7.500","999.90"
"BatteryTest1","401.000","12.192","7.500","999.90"
"BatteryTest1","402.000","12.192","7.500","999.90"
"BatteryTest1","403.000","12.192","7.500","999.90"
"BatteryTest1","404.000","12.192","7.500","999.90"
"BatteryTest1","405.000","12.192","7.500","999.90"
"BatteryTest1","406.000","12.192","7.500","999.90"
"BatteryTest1","407.000","12.192","7.500","999.90"
"BatteryTest1","408.000","12.192","7.500","999.90"
"BatteryTest1","409.000","12.192","7.500","999.90"
"BatteryTest1","410.000","12.192","7.500","999.90"
"BatteryTest1","411.000","12.192","7.500","999.90"
"BatteryTest1","412.000","12.192","7.500","999.90"
"BatteryTest1","413.000","12.192","7.500","999.90"
"BatteryTest1","414.000","12.192","7.500","999.90"
"BatteryTest1","415.000","12.192","7.500","999.90"
"BatteryTest1","416.000","12.192","7.500","999.90"
"BatteryTest1","417.000","12.192","7.500","999.90"
"BatteryTest1","418.000","12.192","7.500","999.90"
"BatteryTest1","419.000","12.192","7.500","999.90"
"BatteryTest1","420.000","12.192","7.500","999.90"
"BatteryTest1","421.000","12.192","7.500","999.90"
"BatteryTest1","422.000","12.192","7.500","999.90"
"BatteryTest1","423.000","12.192","7.500","999.90"
"BatteryTest1","424.000","12.192","7.500","999.90"
"BatteryTest1","425.000","12.188","7.500","999.90"
"BatteryTest1","426.000","12.188","7.500","999.90"
"BatteryTest1","427.000","12.188","7.500","999.90"
"BatteryTest1","428.000","12.188","7.500","999.90"
"BatteryTest1","429.000","12.188","7.500","999.90"
"BatteryTest1","430.000","12.184","7.500","999.90"
"BatteryTest1","431.000","12.184","7.500","999.90"
"BatteryTest1","432.000","12.184","7.500","999.90"
"BatteryTest1","433.000","12.184","7.500","999.90"
"BatteryTest1","434.000","12.184","7.500","999.90"
"BatteryTest1","435.000","12.184","7.500","999.90"
"BatteryTest1","436.000","12.184","7.500","999.90"
"BatteryTest1","437.000","12.184","7.500","999.90"
"BatteryTest1","438.000","12.184","7.500","999.90"
"BatteryTest1","439.000","12.184","7.500","999.90"
"BatteryTest1","440.000","12.184","7.500","999.90"
"BatteryTest1","441.000","12.184","7.500","999.90"
"BatteryTest1","442.000","12.184","7.500","999.90"
"BatteryTest1","443.000","12.184","7.500","999.90"
"BatteryTest1","444.000","12.184","7.500","999.90"
"BatteryTest1","445.000","12.184","7.500","999.90"
"BatteryTest1","446.000","12.184","7.500","999.90"
"BatteryTest1","447.000","12.184","7.500","999.90"
"BatteryTest1","448.000","12.184","7.500","999.90"
"BatteryTest1","449.000","12.184","7.500","999.90"
"BatteryTest1","450.000","12.184","7.500","999.90"
"BatteryTest1","451.000","12.184","7.500","999.90"
"BatteryTest1","452.000","12.184","7.500","999.90"
"BatteryTest1","453.000","12.184","7.500","999.90"
"BatteryTest1","454.000","12.184","7.500","999.90"
"BatteryTest1","455.000","12.184","7.500","999.90"
"BatteryTest1","456.000","12.184","7.500","999.90"
"BatteryTest1","457.000","12.184","7.500","999.90"
"BatteryTest1","458.000","12.180","7.500","999.90"
"BatteryTest1","459.000","12.180","7.500","999.90"
"BatteryTest1","460.000","12.180","7.500","999.90"
"BatteryTest1","461.000","12.180","7.500","999.90"
"BatteryTest1","462.000","12.180","7.500","999.90"
"BatteryTest1","463.000","12.176","7.500","999.90"
"BatteryTest1","464.000","12.176","7.500","999.90"
"BatteryTest1","465.000","12.176","7.500","999.90"
"BatteryTest1","466.000","12.176","7.500","999.90"
"BatteryTest1","467.000","12.176","7.500","999.90"
"BatteryTest1","468.000","12.176","7.500","999.90"
"BatteryTest1","469.000","12.176","7.500","999.90"
"BatteryTest1","470.000","12.176","7.500","999.90"
"BatteryTest1","471.000","12.176","7.500","999.90"
"BatteryTest1","472.000","12.176","7.500","999.90"
"BatteryTest1","473.000","12.176","7.500","999.90"
"BatteryTest1","474.000","12.176","7.500","999.90"
"BatteryTest1","475.000","12.176","7.500","999.90"
"BatteryTest1","476.000","12.176","7.500","999.90"
"BatteryTest1","477.000","12.176","7.500","999.90"
"BatteryTest1","478.000","12.176","7.500","999.90"
"BatteryTest1","479.000","12.176","7.500","999.90"
"BatteryTest1","480.000","12.176","7.500","999.90"
"BatteryTest1","481.000","12.176","7.500","999.90"
"BatteryTest1","482.000","12.176","7.500","999.90"
"BatteryTest1","483.000","12.176","7.500","999.90"
"BatteryTest1","484.000","12.176","7.500","999.90"
"BatteryTest1","485.000","12.176","7.500","999.90"
"BatteryTest1","486.000","12.176","7.500","999.90"
"BatteryTest1","487.000","12.176","7.500","999.90"
"BatteryTest1","488.000","12.176","7.500","999.90"
"BatteryTest1","489.000","12.176","7.500","999.90"
"BatteryTest1","490.000","12.172","7.500","999.90"
"BatteryTest1","491.000","12.172","7.500","999.90"
"BatteryTest1","492.000","12.172","7.500","999.90"
"BatteryTest1","493.000","12.168","7.500","999.90"
"BatteryTest1","494.000","12.168","7.500","999.90"
"BatteryTest1","495.000","12.168","7.500","999.90"
"BatteryTest1","496.000","12.168","7.500","999.90"
"BatteryTest1","497.000","12.168","7.500","999.90"
"BatteryTest1","498.000","12.168","7.500","999.90"
"BatteryTest1","499.000","12.168","7.500","999.90"
"BatteryTest1","500.000","12.168","7.500","999.90"
"BatteryTest1","501.000","12.168","7.500","999.90"
"BatteryTest1","502.000","12.168","7.500","999.90"
"BatteryTest1","503.000","12.168","7.500","999.90"
"BatteryTest1","504.000","12.168","7.500","999.90"
"BatteryTest1","505.000","12.168","7.500","999.90"
"BatteryTest1","506.000","12.168","7.500","999.90"
"BatteryTest1","507.000","12.168","7.500","999.90"
"BatteryTest1","508.000","12.168","7.500","999.90"
"BatteryTest1","509.000","12.168","7.500","999.90"
"BatteryTest1","510.000","12.168","7.500","999.90"
"BatteryTest1","511.000","12.168","7.500","999.90"
