"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"Test_1","326.000","12.364","7.500","999.90"
"Test_1","327.000","12.364","7.500","999.90"
"Test_1","328.000","12.364","7.500","999.90"
"Test_1","329.000","12.364","7.500","999.90"
"Test_1","330.000","12.364","7.500","999.90"
"Test_1","331.000","12.364","7.500","999.90"
"Test_1","332.000","12.364","7.500","999.90"
"Test_1","333.000","12.364","7.500","999.90"
"Test_1","334.000","12.364","7.500","999.90"
"Test_1","335.000","12.364","7.500","999.90"
"Test_1","336.000","12.364","7.500","999.90"
"Test_1","337.000","12.368","7.500","999.90"
"Test_1","338.000","12.364","7.500","999.90"
"Test_1","339.000","12.364","7.500","999.90"
"Test_1","340.000","12.364","7.500","999.90"
"Test_1","341.000","12.364","7.500","999.90"
"Test_1","342.000","12.364","7.500","999.90"
"Test_1","343.000","12.368","7.500","999.90"
"Test_1","344.000","12.364","7.500","999.90"
"Test_1","345.000","12.364","7.500","999.90"
"Test_1","346.000","12.364","7.500","999.90"
"Test_1","347.000","12.368","7.500","999.90"
"Test_1","348.000","12.364","7.500","999.90"
"Test_1","349.000","12.364","7.500","999.90"
"Test_1","350.000","12.364","7.500","999.90"
"Test_1","351.000","12.364","7.500","999.90"
"Test_1","352.000","12.368","7.500","999.90"
"Test_1","353.000","12.364","7.500","999.90"
"Test_1","354.000","12.364","7.500","999.90"
"Test_1","355.000","12.364","7.500","999.90"
"Test_1","356.000","12.364","7.500","999.90"
"Test_1","357.000","12.364","7.500","999.90"
"Test_1","358.000","12.364","7.500","999.90"
"Test_1","359.000","12.368","7.500","999.90"
"Test_1","360.000","12.368","7.500","999.90"
"Test_1","361.000","12.368","7.500","999.90"
"Test_1","362.000","12.364","7.500","999.90"
"Test_1","363.000","12.368","7.500","999.90"
"Test_1","364.000","12.368","7.500","999.90"
"Test_1","365.000","12.368","7.500","999.90"
"Test_1","366.000","12.368","7.500","999.90"
"Test_1","367.000","12.368","7.500","999.90"
"Test_1","368.000","12.368","7.500","999.90"
"Test_1","369.000","12.372","7.500","999.90"
"Test_1","370.000","12.372","7.500","999.90"
"Test_1","371.000","12.372","7.500","999.90"
"Test_1","372.000","12.372","7.500","999.90"
"Test_1","373.000","12.368","7.500","999.90"
"Test_1","374.000","12.368","7.500","999.90"
"Test_1","375.000","12.368","7.500","999.90"
"Test_1","376.000","12.368","7.500","999.90"
"Test_1","377.000","12.364","7.500","999.90"
"Test_1","378.000","12.384","7.500","999.90"
"Test_1","379.000","12.400","7.500","999.90"
"Test_1","380.000","12.396","7.500","999.90"
"Test_1","381.000","12.396","7.500","999.90"
"Test_1","382.000","12.396","7.500","999.90"
"Test_1","383.000","12.396","7.500","999.90"
"Test_1","384.000","12.396","7.500","999.90"
"Test_1","385.000","12.396","7.500","999.90"
"Test_1","386.000","12.396","7.500","999.90"
"Test_1","387.000","12.396","7.500","999.90"
"Test_1","388.000","12.396","7.500","999.90"
"Test_1","389.000","12.396","7.500","999.90"
"Test_1","390.000","12.396","7.500","999.90"
"Test_1","391.000","12.396","7.500","999.90"
"Test_1","392.000","12.396","7.500","999.90"
"Test_1","393.000","12.396","7.500","999.90"
"Test_1","394.000","12.396","7.500","999.90"
"Test_1","395.000","12.396","7.500","999.90"
"Test_1","396.000","12.396","7.500","999.90"
"Test_1","397.000","12.392","7.500","999.90"
"Test_1","398.000","12.396","7.500","999.90"
"Test_1","399.000","12.392","7.500","999.90"
"Test_1","400.000","12.396","7.500","999.90"
"Test_1","401.000","12.396","7.500","999.90"
"Test_1","402.000","12.392","7.500","999.90"
"Test_1","403.000","12.396","7.500","999.90"
"Test_1","404.000","12.396","7.500","999.90"
"Test_1","405.000","12.392","7.500","999.90"
"Test_1","406.000","12.392","7.500","999.90"
"Test_1","407.000","12.392","7.500","999.90"
"Test_1","408.000","12.392","7.500","999.90"
"Test_1","409.000","12.392","7.500","999.90"
"Test_1","410.000","12.392","7.500","999.90"
"Test_1","411.000","12.396","7.500","999.90"
"Test_1","412.000","12.392","7.500","999.90"
"Test_1","413.000","12.396","7.500","999.90"
